SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_CREDIT,AMT_INCOME_TOTAL,差值
433294,Cash loans,4050000.0,405000.0,3645000.0
210956,Cash loans,4031032.5,430650.0,3600382.5
434170,Cash loans,4050000.0,450000.0,3600000.0
315893,Cash loans,4027680.0,458550.0,3569130.0
238431,Cash loans,3860019.0,292050.0,3567969.0
240007,Cash loans,4050000.0,587250.0,3462750.0
117337,Cash loans,4050000.0,760846.5,3289153.5
120926,Cash loans,4050000.0,783000.0,3267000.0
117085,Cash loans,3956274.0,749331.0,3206943.0
228135,Cash loans,4050000.0,864900.0,3185100.0
